Species,Genus,Family
Stenotrophomonas phage Piffle,Pokkenvirus,Schitoviridae
Ocimum golden mosaic virus,Begomovirus,Geminiviridae
Unuamitovirus boci4,Unuamitovirus,Mitoviridae
Phikmvvirus phiKMV,Phikmvvirus,Autographiviridae
Tiamatvirus PSSP7,Tiamatvirus,Autographiviridae
Berlinvirus BSP161,Berlinvirus,Autographiviridae
Phobosvirus phobos,Phobosvirus,Casjensviridae
Streptocarpus flower break virus,Tobamovirus,Virgaviridae
Alphabaculovirus sujujubae,Alphabaculovirus,Baculoviridae
Limestonevirus RC2014,Limestonevirus,Ackermannviridae
Rodent tetraparvovirus,Tetraparvovirus,Parvoviridae
Alphapolyomavirus apaniscus,Alphapolyomavirus,Polyomaviridae
Sarcochilus virus Y,Potyvirus,Potyviridae
Streptococcus phage CHPC1156,Moineauvirus,Aliceevansviridae
Badnavirus volubetulae,Badnavirus,Caulimoviridae
Alphanecrovirus nicotianae,Alphanecrovirus,Tombusviridae
Orthoflavivirus langatense,Orthoflavivirus,Flaviviridae
Pestivirus aydinense,Pestivirus,Flaviviridae
Switchgrass mosaic-associated virus,Mastrevirus,Geminiviridae
Domestic cat hepatitis B virus,Orthohepadnavirus,Hepadnaviridae
Alphapolyomavirus panos,Alphapolyomavirus,Polyomaviridae
Cinqassovirus aeh1,Cinqassovirus,Straboviridae
Rosellinia necatrix hypovirus 1,Hypovirus,Hypoviridae
Henipavirus hendraense,Henipavirus,Paramyxoviridae
Cyclovirus risi,Cyclovirus,Circoviridae
Gammapapillomavirus 27,Gammapapillomavirus,Papillomaviridae
Etatorquevirus felid1,Etatorquevirus,Anelloviridae
Vectrevirus kay,Vectrevirus,Autographiviridae
Glossinavirus glopallidipedis,Glossinavirus,Hytrosaviridae
Thogotovirus thogotoense,Thogotovirus,Orthomyxoviridae
Alphapolyomavirus quintihominis,Alphapolyomavirus,Polyomaviridae
Tomato rugose yellow leaf curl virus,Begomovirus,Geminiviridae
Stylovirus niederense,Stylovirus,Lispiviridae
Weheuvirus chthonovivens,Weheuvirus,Steitzviridae
Streptococcus phage SW13,Brussowvirus,Aliceevansviridae
Cadicivirus B,Dicipivirus,Picornaviridae
Badnavirus venavitis,Badnavirus,Caulimoviridae
Molossus molossus circovirus 3,Circovirus,Circoviridae
Webervirus F20,Webervirus,Drexlerviridae
Pourcelvirus Axy10,Pourcelvirus,Schitoviridae
Sclerotinia botoulivirus 2,Botoulivirus,Botourmiaviridae
Sida angular mosaic virus,Begomovirus,Geminiviridae
Leucotheavirus sp4,Leucotheavirus,Kyanoviridae
Alphabaculovirus hytalacae,Alphabaculovirus,Baculoviridae
Papaya leaf curl virus,Begomovirus,Geminiviridae
Pleakleyvirus pleakley,Pleakleyvirus,Zierdtviridae
Pararubulavirus accraense,Pararubulavirus,Paramyxoviridae
Teetrevirus YeF10,Teetrevirus,Autographiviridae
Epseptimavirus ev23,Epseptimavirus,Demerecviridae
Thogotovirus dhoriense,Thogotovirus,Orthomyxoviridae
Gemycircularvirus lynca1,Gemycircularvirus,Genomoviridae
Dorisvirus 49B3,Dorisvirus,Schitoviridae
Phikmvvirus DL62,Phikmvvirus,Autographiviridae
Simplexvirus cercopithecinealpha2,Simplexvirus,Orthoherpesviridae
Nepovirus cycas,Nepovirus,Secoviridae
Jacquemontia yellow mosaic virus,Begomovirus,Geminiviridae
Strawberry chlorotic fleck-associated virus,Closterovirus,Closteroviridae
Alphapleolipovirus HRPV1,Alphapleolipovirus,Pleolipoviridae
Badnavirus maculapiperis,Badnavirus,Caulimoviridae
Tequatrovirus ime09,Tequatrovirus,Straboviridae
Peridroma alphabaculovirus,Alphabaculovirus,Baculoviridae
Ovine lentivirus,Lentivirus,Retroviridae
Uukuvirus yongjiaense,Uukuvirus,Phenuiviridae
Kayfunavirus EcpYZU01,Kayfunavirus,Autographiviridae
Squash vein yellowing virus,Ipomovirus,Potyviridae
Bequatrovirus bigbertha,Bequatrovirus,Herelleviridae
Barley virus G,Polerovirus,Solemoviridae
Southern cowpea mosaic virus,Sobemovirus,Solemoviridae
Triamitovirus rhso23,Triamitovirus,Mitoviridae
Copernicusvirus AE417,Copernicusvirus,Rountreeviridae
Klebsiella virus Miro,Slopekvirus,Straboviridae
Malvastrum leaf curl Guangdong betasatellite,Betasatellite,Tolecusatellitidae
Callevirus phi38una,Callevirus,Pervagoviridae
Bat mastadenovirus,Mastadenovirus,Adenoviridae
Peduovirus YPM50,Peduovirus,Peduoviridae
Broinstvirus pCB2051A,Broinstvirus,Casjensviridae
Vientovirus,Torbevirus,Redondoviridae
Apscaviroid dvd,Apscaviroid,Pospiviroidae
Jeilongvirus lophuromysis,Jeilongvirus,Paramyxoviridae
Chilli leaf curl Kanpur virus,Begomovirus,Geminiviridae
Gelderlandvirus stp4a,Gelderlandvirus,Straboviridae
Unuamitovirus fuci2,Unuamitovirus,Mitoviridae
Tymovirus mosandigenum,Tymovirus,Tymoviridae
Decadevirus asiocola,Decadevirus,Fiersviridae
Wad Medani virus,Orbivirus,Sedoreoviridae
Rotavirus G,Rotavirus,Sedoreoviridae
Intasivirus terricola,Intasivirus,Solspiviridae
Wolvfec circovius,Circovirus,Circoviridae
Circovirus goose,Circovirus,Circoviridae
Ohlsrhavirus culex,Ohlsrhavirus,Rhabdoviridae
Phlebovirus candiruense,Phlebovirus,Phenuiviridae
Escherichia virus ST0,Mosigvirus,Straboviridae
Tenuivirus urochloae,Tenuivirus,Phenuiviridae
Arihsbuvirus caenadaptatum,Arihsbuvirus,Atkinsviridae
Hysdruvirus tellurivicinum,Hysdruvirus,Atkinsviridae
Sphonivirus choradaptatum,Sphonivirus,Fiersviridae
Bat mastadenovirus B,Mastadenovirus,Adenoviridae
Escherichia phage phi G17,Gamaleyavirus,Schitoviridae
Sholavirus caenicola,Sholavirus,Fiersviridae
Alphabaculovirus helarmigerae,Alphabaculovirus,Baculoviridae
Bahnicevirus terradaptatum,Bahnicevirus,Steitzviridae
Aichivirus D,Kobuvirus,Picornaviridae
Sida yellow mosaic China satellite DNA beta,Betasatellite,Tolecusatellitidae
Gyrovirus homsa1,Gyrovirus,Anelloviridae
Gammatorquevirus homidi4,Gammatorquevirus,Anelloviridae
Claudivirus QCM11,Claudivirus,Salasmaviridae
Tikiyavirus asiovivens,Tikiyavirus,Steitzviridae
Pseudomonas virus LKO4,Yuavirus,Mesyanzhinovviridae
Epseptimavirus LVR16A,Epseptimavirus,Demerecviridae
White spot syndrome virus,Whispovirus,Nimaviridae
Alehxovirus asiovicinum,Alehxovirus,Steitzviridae
Chifec virus UA13_1800,Cyclovirus,Circoviridae
Culicidavirus culicidae,Culicidavirus,Chuviridae
Protobacilladnavirus mudflat,Protobacilladnavirus,Bacilladnaviridae
Pelarspovirus rosae,Pelarspovirus,Tombusviridae
Ixovirus norvegiae,Ixovirus,Phenuiviridae
Duck atadenovirus A,Atadenovirus,Adenoviridae
Bhendi yellow vein mosaic betasatellite,Betasatellite,Tolecusatellitidae
Streptococcus phage CHPC927,Moineauvirus,Aliceevansviridae
Duck hepatitis B virus,Avihepadnavirus,Hepadnaviridae
Vernevirus limadaptatum,Vernevirus,Steitzviridae
Tinebovirus borborenecus,Tinebovirus,Blumeviridae
Habenivirus RS603,Habenivirus,Inoviridae
Tritonvirus PSSP3,Tritonvirus,Autographiviridae
Epseptimavirus S114,Epseptimavirus,Demerecviridae
Xylivirus XacF13,Xylivirus,Inoviridae
Pteropine orthoreovirus,Orthoreovirus,Spinareoviridae
Streptococcus phage P5651,Moineauvirus,Aliceevansviridae
Cassava common mosaic virus,Potexvirus,Alphaflexiviridae
Faba bean necrotic yellows alphasatellite 2,Fabenesatellite,Alphasatellitidae
Aresaunavirus RSA1,Aresaunavirus,Peduoviridae
Cannabis cryptic virus,Betapartitivirus,Partitiviridae
Drulisvirus SFN6B,Drulisvirus,Autographiviridae
Mooreparkvirus Lb3381,Mooreparkvirus,Herelleviridae
Phomosis penoulivirus,Penoulivirus,Botourmiaviridae
Monkeypox virus,Orthopoxvirus,Poxviridae
Adoxophyes orana nucleopolyhedrovirus,Alphabaculovirus,Baculoviridae
Codiaeum leaf curl betasatellite,Betasatellite,Tolecusatellitidae
Pariacoto virus,Alphanodavirus,Nodaviridae
Lophivirus Cf2,Lophivirus,Inoviridae
Tomato chocolate spot virus,Torradovirus,Secoviridae
Dioscorea mosaic virus,Potyvirus,Potyviridae
Kuttervirus moki,Kuttervirus,Ackermannviridae
Tequatrovirus ecomg28,Tequatrovirus,Straboviridae
RD114 retrovirus,Gammaretrovirus,Retroviridae
Bovine rhinitis A virus,Aphthovirus,Picornaviridae
Evevirus ev239,Evevirus,Peduoviridae
Aureusvirus dioscoreae,Aureusvirus,Tombusviridae
Paprika mild mottle virus,Tobamovirus,Virgaviridae
Cardiovirus D,Cardiovirus,Picornaviridae
Hanrivervirus egaa,Hanrivervirus,Drexlerviridae
Cotia virus,Oryzopoxvirus,Poxviridae
Comovirus arabidopsis,Comovirus,Secoviridae
Rosellinia necatrix victorivirus 1,Victorivirus,Totiviridae
Sukuvirus RSPII1,Sukuvirus,Autographiviridae
Behevivirus limivivens,Behevivirus,Fiersviridae
Porprismacovirus turas1,Porprismacovirus,Smacoviridae
Alternanthera mosaic virus,Potexvirus,Alphaflexiviridae
Digitaria ciliaris striate mosaic virus,Mastrevirus,Geminiviridae
Scotophilus bat coronavirus 512,Alphacoronavirus,Coronaviridae
Tomato yellow leaf curl Thailand virus,Begomovirus,Geminiviridae
Pixuna virus,Alphavirus,Togaviridae
Turkey siadenovirus A,Siadenovirus,Adenoviridae
French bean severe leaf curl virus,Capulavirus,Geminiviridae
Gulmivirus arvadaptatum,Gulmivirus,Steitzviridae
Alternanthera yellow vein betasatellite,Betasatellite,Tolecusatellitidae
Dianthovirus meliloti,Dianthovirus,Tombusviridae
Okra enation leaf curl alphasatellite,Gosmusatellite,Alphasatellitidae
Rivapovirus aleyrodidae,Rivapovirus,Lispiviridae
Hapavirus ord,Hapavirus,Rhabdoviridae
European North Atlantic ranavirus,Ranavirus,Iridoviridae
Orthopneumovirus muris,Orthopneumovirus,Pneumoviridae
Orthobunyavirus enseadaense,Orthobunyavirus,Peribunyaviridae
Mammarenavirus guanaritoense,Mammarenavirus,Arenaviridae
Betatristromavirus TTV1,Betatristromavirus,Tristromaviridae
Freyavirus danklef,Freyavirus,Forsetiviridae
Alphapolyomavirus mauratus,Alphapolyomavirus,Polyomaviridae
Psouhdivirus pedohabitans,Psouhdivirus,Steitzviridae
Klosterneuburgvirus MGB1,Klosterneuburgvirus,Salasmaviridae
Kayfunavirus ZG49,Kayfunavirus,Autographiviridae
Pelarspovirus lineapelargonii,Pelarspovirus,Tombusviridae
Mucambo virus,Alphavirus,Togaviridae
Lipsvirus ssm7,Lipsvirus,Kyanoviridae
Gelderlandvirus stml198,Gelderlandvirus,Straboviridae
Dyokappapapillomavirus 3,Dyokappapapillomavirus,Papillomaviridae
Gemycircularvirus euhet1,Gemycircularvirus,Genomoviridae
Rhadinovirus atelinegamma3,Rhadinovirus,Orthoherpesviridae
Iflavirus flacherie,Iflavirus,Iflaviridae
Duamitovirus gima1,Duamitovirus,Mitoviridae
Macroptilium yellow spot virus,Begomovirus,Geminiviridae
Alphapapillomavirus 8,Alphapapillomavirus,Papillomaviridae
Bitter gourd yellow mosaic virus,Begomovirus,Geminiviridae
Ageratum yellow vein Sri Lanka betasatellite,Betasatellite,Tolecusatellitidae
Pararubulavirus menangleense,Pararubulavirus,Paramyxoviridae
Gemykibivirus haeme3,Gemykibivirus,Genomoviridae
Betatectivirus Bam35,Betatectivirus,Tectiviridae
Gifriavirus ruminicola,Gifriavirus,Blumeviridae
Passion fruit woodiness virus,Potyvirus,Potyviridae
Simian mastadenovirus D,Mastadenovirus,Adenoviridae
Beet virus Q,Pomovirus,Virgaviridae
Caulimovirus tessellodahliae,Caulimovirus,Caulimoviridae
Machlomovirus zeae,Machlomovirus,Tombusviridae
Madalivirus amazonaense,Madalivirus,Xinmoviridae
Kalanchoe mosaic virus,Potyvirus,Potyviridae
Citrus leaf blotch virus,Citrivirus,Betaflexiviridae
Blattambidensovirus incertum3,Blattambidensovirus,Parvoviridae
Common bean severe mosaic virus,Begomovirus,Geminiviridae
Mammarenavirus xapuriense,Mammarenavirus,Arenaviridae
Thladiantha dubia mosaic virus,Potyvirus,Potyviridae
Termite HDV-like virus,Deltavirus,Kolmioviridae
Euphorbia yellow mosaic virus,Begomovirus,Geminiviridae
Bocaparvovirus chiropteran5,Bocaparvovirus,Parvoviridae
Telfairia golden mosaic virus,Begomovirus,Geminiviridae
Mule deerpox virus,Cervidpoxvirus,Poxviridae
Melon yellow mosaic virus,Begomovirus,Geminiviridae
Turnip mosaic virus,Potyvirus,Potyviridae
Ghunavirus Psa17,Ghunavirus,Autographiviridae
Phlebovirus riftense,Phlebovirus,Phenuiviridae
Haloferacalesvirus HRTV5,Haloferacalesvirus,Hafunaviridae
Orthotospovirus capsicimaculaflavi,Orthotospovirus,Tospoviridae
Muromegalovirus muridbeta8,Muromegalovirus,Orthoherpesviridae
Iflavirus lylineolaris,Iflavirus,Iflaviridae
Carettavirus e142,Carettavirus,Straboviridae
Apscaviroid pvd,Apscaviroid,Pospiviroidae
Rhinolophus ferrumequinum alphacoronavirus HuB-2013,Alphacoronavirus,Coronaviridae
Momordica yellow mosaic betasatellite,Betasatellite,Tolecusatellitidae
Phlebovirus anhangaense,Phlebovirus,Phenuiviridae
Potato aucuba mosaic virus,Potexvirus,Alphaflexiviridae
Andhaxevirus choradaptatum,Andhaxevirus,Fiersviridae
Gemycircularvirus chickad1,Gemycircularvirus,Genomoviridae
Penaeus monodon circovirus VN11,Circovirus,Circoviridae
Arpirivirus pedohabitans,Arpirivirus,Steitzviridae
Gredihovirus chorohabitans,Gredihovirus,Steitzviridae
Xinspivirus xinzhouense,Xinspivirus,Nairoviridae
Novemvirus T5282H,Novemvirus,Peduoviridae
Cyclovirus khangkhaw,Cyclovirus,Circoviridae
Epseptimavirus R201,Epseptimavirus,Demerecviridae
Lavrentievavirus PM87,Lavrentievavirus,Casjensviridae
Okra enation leaf curl virus,Begomovirus,Geminiviridae
Cohrdavirus arvadaptatum,Cohrdavirus,Steitzviridae
Turkey aviadenovirus B,Aviadenovirus,Adenoviridae
Protobacilladnavirus chasesal,Protobacilladnavirus,Bacilladnaviridae
Orthoflavivirus banziense,Orthoflavivirus,Flaviviridae
Deltahypovirus sipunculidi,Deltahypovirus,Hypoviridae
Streptococcus phage CHPC1027,Moineauvirus,Aliceevansviridae
Sigmavirus ananassae,Sigmavirus,Rhabdoviridae
Weheuvirus terrihabitans,Weheuvirus,Steitzviridae
Waikavirus ribesnigri,Waikavirus,Secoviridae
Susfortunavirus susfortuna,Susfortunavirus,Guelinviridae
Porprismacovirus macas2,Porprismacovirus,Smacoviridae
Kelmasvirus RSB2,Kelmasvirus,Autographiviridae
Gemycircularvirus dichism1,Gemycircularvirus,Genomoviridae
Corchorus yellow spot virus,Begomovirus,Geminiviridae
Nepovirus deformationis,Nepovirus,Secoviridae
Betascleroulivirus betaplasmoparae,Betascleroulivirus,Botourmiaviridae
Tenuivirus zeae,Tenuivirus,Phenuiviridae
Warwickvirus tonijn,Warwickvirus,Drexlerviridae
Copernicusvirus Ef63,Copernicusvirus,Rountreeviridae
Citrovirus coptotermitis,Citrovirus,Zobellviridae
Amazon lily mosaic virus,Potyvirus,Potyviridae
Betatectivirus GIL16,Betatectivirus,Tectiviridae
Mume virus A,Capillovirus,Betaflexiviridae
Scallion mosaic virus,Potyvirus,Potyviridae
Kayfunavirus K1F,Kayfunavirus,Autographiviridae
Nepovirus myrtilli,Nepovirus,Secoviridae
Rhizosolenia setigera RNA virus 01,Bacillarnavirus,Marnaviridae
Bahnicevirus chthonocola,Bahnicevirus,Steitzviridae
Hibiscus bacilliform virus GD1,Badnavirus,Caulimoviridae
Gemycircularvirus oxcor1,Gemycircularvirus,Genomoviridae
Pomeroyivirus V13,Pomeroyivirus,Schitoviridae
Yingvirus charybdis,Yingvirus,Qinviridae
Human T-lymphotropic virus 4,Deltaretrovirus,Retroviridae
Priunavirus PSTCR5,Priunavirus,Demerecviridae
Lazarusvirus berthold,Lazarusvirus,Straboviridae
Betatorquevirus homini3,Betatorquevirus,Anelloviridae
Matsuvirus pYD6A,Matsuvirus,Schitoviridae
Moonvirus cf1,Moonvirus,Straboviridae
Tibrovirus coastal,Tibrovirus,Rhabdoviridae
Streptococcus phage P7953,Brussowvirus,Aliceevansviridae
Hoswirudivirus ARV3,Hoswirudivirus,Rudiviridae
Sclerotinia botoulivirus 3,Botoulivirus,Botourmiaviridae
Drulisvirus altogao,Drulisvirus,Autographiviridae
Blunervirus vaccinii,Blunervirus,Kitaviridae
Rosenblumvirus rv66,Rosenblumvirus,Rountreeviridae
Jatropha leaf curl virus,Begomovirus,Geminiviridae
Strawberry pallidosis-associated virus,Crinivirus,Closteroviridae
Jiaodavirus kpv477,Jiaodavirus,Straboviridae
Betabaculovirus xecnigri,Betabaculovirus,Baculoviridae
Yonginvirus EaP8,Yonginvirus,Schitoviridae
Pestivirus bovis,Pestivirus,Flaviviridae
Mycobacterium phage Snenia,Lumosvirus,Vilmaviridae
Deltahypovirus sinicum,Deltahypovirus,Hypoviridae
Mincapvirus HSTV2,Mincapvirus,Hafunaviridae
Rosenblumvirus LSA2366,Rosenblumvirus,Rountreeviridae
Thetapolyomavirus censtriata,Thetapolyomavirus,Polyomaviridae
Ectocarpus siliculosus virus 1,Phaeovirus,Phycodnaviridae
Turtle grass virus X,Potexvirus,Alphaflexiviridae
Citrus bent leaf viroid,Apscaviroid,Pospiviroidae
Tai Forest alphavirus,Alphavirus,Togaviridae
Cosavirus E,Cosavirus,Picornaviridae
Sclerotinia sclerotiorum deltaflexivirus 2,Deltaflexivirus,Deltaflexiviridae
Beet cryptic virus 3,Deltapartitivirus,Partitiviridae
Giant panda circovirus 1,Circovirus,Circoviridae
Gammanudivirus cameanadis,Gammanudivirus,Nudiviridae
Pseudomonas phage PaP2,Jamesmcgillvirus,Fredfastierviridae
Streptococcus phage SW1,Moineauvirus,Aliceevansviridae
Varicellovirus caprinealpha1,Varicellovirus,Orthoherpesviridae
Pseudotevenvirus miller,Pseudotevenvirus,Straboviridae
Magoulivirus thetaplasmoparae,Magoulivirus,Botourmiaviridae
Rhizoulivirus alpharhizoctoniae,Rhizoulivirus,Botourmiaviridae
Fohxhuevirus gastrointestinalis,Fohxhuevirus,Intestiviridae
Betabaculovirus hycuneae,Betabaculovirus,Baculoviridae
Alphapleolipovirus HRPV6,Alphapleolipovirus,Pleolipoviridae
Chivirus BSPM4,Chivirus,Casjensviridae
Sripuvirus hainan,Sripuvirus,Rhabdoviridae
Gemykroznavirus haeme1,Gemykroznavirus,Genomoviridae
Betascleroulivirus etaplasmoparae,Betascleroulivirus,Botourmiaviridae
Orthoflavivirus phnompenhense,Orthoflavivirus,Flaviviridae
Hibiscus latent Singapore virus,Tobamovirus,Virgaviridae
Ningirsuvirus ninurta,Ningirsuvirus,Autographiviridae
Pujohnavirus solicola,Pujohnavirus,Steitzviridae
Cardamom mosaic virus,Macluravirus,Potyviridae
Arctuvirus pedadaptatum,Arctuvirus,Steitzviridae
Yak enterovirus,Enterovirus,Picornaviridae
Emaravirus verbanni,Emaravirus,Fimoviridae
Huhmpluvirus limenecus,Huhmpluvirus,Atkinsviridae
Kehishuvirus splanchnicus,Kehishuvirus,Steigviridae
Chaphamaparvovirus dasyurid3,Chaphamaparvovirus,Parvoviridae
Pegivirus scotophili,Pegivirus,Flaviviridae
Magoulivirus betamacrophominae,Magoulivirus,Botourmiaviridae
Vesiculovirus cocal,Vesiculovirus,Rhabdoviridae
Umbravirus carotae,Umbravirus,Tombusviridae
Carrot virus Y,Potyvirus,Potyviridae
Dyoetapapillomavirus 1,Dyoetapapillomavirus,Papillomaviridae
Marafivirus pruni,Marafivirus,Tymoviridae
Cherry necrotic rusty mottle virus,Robigovirus,Betaflexiviridae
Tlsvirus DK2017,Tlsvirus,Drexlerviridae
Badaguanvirus IME347,Badaguanvirus,Drexlerviridae
Nepovirus betasolani,Nepovirus,Secoviridae
Badnavirus tessellotheobromae,Badnavirus,Caulimoviridae
Lihvevirus borborenecus,Lihvevirus,Steitzviridae
Webervirus PKP126,Webervirus,Drexlerviridae
Paramecium bursaria Chlorella virus NC1A,Chlorovirus,Phycodnaviridae
Orthodiscovirus penicillii,Orthodiscovirus,Discoviridae
Crustavirus wenzhouense,Crustavirus,Nyamiviridae
Ambystoma tigrinum virus,Ranavirus,Iridoviridae
Cetarhavirus laganorhynchus,Cetarhavirus,Rhabdoviridae
Spinach yellow vein virus,Begomovirus,Geminiviridae
Tequatrovirus shfml26,Tequatrovirus,Straboviridae
Sunrhavirus sunguru,Sunrhavirus,Rhabdoviridae
Gaprivervirus vr26,Gaprivervirus,Straboviridae
Macanavirus furcraeae,Macanavirus,Tombusviridae
Tomato leaf curl Sulawesi virus,Begomovirus,Geminiviridae
Chili leaf curl Bhatinda betasatellite,Betasatellite,Tolecusatellitidae
Badnavirus phirubi,Badnavirus,Caulimoviridae
Marafivirus avenae,Marafivirus,Tymoviridae
Dongdastvirus Axy24,Dongdastvirus,Schitoviridae
T'Ho virus,Flavivirus,Flaviviridae
Bat mastadenovirus A,Mastadenovirus,Adenoviridae
Soybean blistering mosaic virus,Begomovirus,Geminiviridae
Alphabaculovirus spliturae,Alphabaculovirus,Baculoviridae
Lyssavirus rabies,Lyssavirus,Rhabdoviridae
Acidianus spindle-shaped virus 1,Betafusellovirus,Fuselloviridae
Sigmavirus tristis,Sigmavirus,Rhabdoviridae
Gammatorquevirus homidi11,Gammatorquevirus,Anelloviridae
Bahnicevirus limicola,Bahnicevirus,Steitzviridae
Cassava Colombian symptomless virus,Potexvirus,Alphaflexiviridae
Tobacco leaf curl Japan virus,Begomovirus,Geminiviridae
Alehxovirus agricola,Alehxovirus,Steitzviridae
Penoulivirus macrophominae,Penoulivirus,Botourmiaviridae
Bellflower veinal mottle virus,Bevemovirus,Potyviridae
robinz virus RP_493,Cyclovirus,Circoviridae
Mycobacterium phage Gardann,Faithunavirus,Vilmaviridae
Cassava virus X,Potexvirus,Alphaflexiviridae
Tuberose mild mottle virus,Potyvirus,Potyviridae
Badnavirus rutilanscamelliae,Badnavirus,Caulimoviridae
Unahavirus uv2A,Unahavirus,Duneviridae
Zindervirus SP6,Zindervirus,Autographiviridae
Tequatrovirus ar1,Tequatrovirus,Straboviridae
Tymovirus scrophulariae,Tymovirus,Tymoviridae
Potyvirus ashitabae,Potyvirus,Potyviridae
Penicillium digitatum polymycovirus 1,Polymycovirus,Polymycoviridae
Chivirus SeWh1,Chivirus,Casjensviridae
Beet curly top virus,Curtovirus,Geminiviridae
Nehujevirus caenicola,Nehujevirus,Atkinsviridae
Brizovirus syn33,Brizovirus,Kyanoviridae
Andrographis yellow vein leaf curl betasatellite,Betasatellite,Tolecusatellitidae
Phlox virus S,Carlavirus,Betaflexiviridae
Chloris striate mosaic virus,Mastrevirus,Geminiviridae
Cheravirus pruni,Cheravirus,Secoviridae
Kayvirus rodi,Kayvirus,Herelleviridae
Betapolyomavirus mastomysis,Betapolyomavirus,Polyomaviridae
Bohnovirus asienecus,Bohnovirus,Fiersviridae
Cordyline virus 4,Velarivirus,Closteroviridae
Potato virus M,Carlavirus,Betaflexiviridae
Psehatovirus edaphadaptatum,Psehatovirus,Fiersviridae
Gemykibivirus canfam1,Gemykibivirus,Genomoviridae
Vesiculovirus indiana,Vesiculovirus,Rhabdoviridae
Buchavirus copri,Buchavirus,Suoliviridae
Tomato necrotic dwarf virus,Torradovirus,Secoviridae
Keghovirus borborovivens,Keghovirus,Fiersviridae
Teetrevirus SH2,Teetrevirus,Autographiviridae
Erectites yellow mosaic virus,Begomovirus,Geminiviridae
Aquambidensovirus decapod1,Aquambidensovirus,Parvoviridae
Chounavirus chorenecus,Chounavirus,Atkinsviridae
Betaarterivirus suid 1,Betaarterivirus,Arteriviridae
Betapolyomavirus secumuris,Betapolyomavirus,Polyomaviridae
Duamitovirus casa1,Duamitovirus,Mitoviridae
Highlands J virus,Alphavirus,Togaviridae
Keylargovirus JL001,Keylargovirus,Mesyanzhinovviridae
Eracentumvirus era103,Eracentumvirus,Autographiviridae
Gredihovirus neohumivicinum,Gredihovirus,Steitzviridae
Unuamitovirus pust1,Unuamitovirus,Mitoviridae
Gemycircularvirus equas1,Gemycircularvirus,Genomoviridae
Turnip ringspot virus,Comovirus,Secoviridae
Pea leaf distortion virus,Begomovirus,Geminiviridae
Frangipani mosaic virus,Tobamovirus,Virgaviridae
Escherichia virus slur04,Tequatrovirus,Straboviridae
Chivirus FSLSP088,Chivirus,Casjensviridae
Cyclovirus libelula,Cyclovirus,Circoviridae
Sugarcane chlorotic streak virus,Mastrevirus,Geminiviridae
Dendrolimus punctatus virus,Omegatetravirus,Alphatetraviridae
Sanyabayvirus DS1410Ws06,Sanyabayvirus,Schitoviridae
Tequatrovirus ecnp1,Tequatrovirus,Straboviridae
Toyo virus,Uukuvirus,Phenuiviridae
Kokobelvirus kokobel1,Kokobelvirus,Casjensviridae
Sida yellow blotch virus,Begomovirus,Geminiviridae
Papaya leaf crumple virus,Begomovirus,Geminiviridae
Bdellomicrovirus MH2K,Bdellomicrovirus,Microviridae
Heterobasidion partitivirus 8,Betapartitivirus,Partitiviridae
Porprismacovirus macas5,Porprismacovirus,Smacoviridae
Circovirus finch,Circovirus,Circoviridae
Banana bunchy top alphasatellite 2,Muscarsatellite,Alphasatellitidae
Krischvirus georgiaone,Krischvirus,Straboviridae
Pacehavirus pelovicinum,Pacehavirus,Blumeviridae
Phlebovirus embossosense,Phlebovirus,Phenuiviridae
Beet soil-borne mosaic virus,Benyvirus,Benyviridae
Tomato leaf curl Karnataka betasatellite,Betasatellite,Tolecusatellitidae
Circovirus penguin,Circovirus,Circoviridae
Apium virus Y,Potyvirus,Potyviridae
Betaarterivirus suid 2,Betaarterivirus,Arteriviridae
Olive latent virus 2,Oleavirus,Bromoviridae
Efbeekayvirus P184,Efbeekayvirus,Schitoviridae
Bufonid herpesvirus 1,Batrachovirus,Alloherpesviridae
Ostreococcus lucimarinus virus 7,Prasinovirus,Phycodnaviridae
Coriovirus Cf1c,Coriovirus,Inoviridae
Tequatrovirus gee4498,Tequatrovirus,Straboviridae
Cyclovirus podgana,Cyclovirus,Circoviridae
Deltatectivirus forthebois,Deltatectivirus,Tectiviridae
Hapavirus mosqueiro,Hapavirus,Rhabdoviridae
Gemyduguivirus merre1,Gemyduguivirus,Genomoviridae
Anedhivirus chorovicinum,Anedhivirus,Fiersviridae
Tomato chlorotic dwarf viroid,Pospiviroid,Pospiviroidae
Pippivirus lotta,Pippivirus,Winoviridae
Upsilonpapillomavirus 1,Upsilonpapillomavirus,Papillomaviridae
Hanrivervirus haarsle,Hanrivervirus,Drexlerviridae
African oil palm ringspot virus,Robigovirus,Betaflexiviridae
Phaius virus X,Potexvirus,Alphaflexiviridae
Peropuvirus dentati,Peropuvirus,Artoviridae
Bean yellow disorder virus,Crinivirus,Closteroviridae
Caeruleovirus deepblue,Caeruleovirus,Herelleviridae
Tombusvirus dianthi,Tombusvirus,Tombusviridae
Hoplichthysvirus hoplichthysis,Hoplichthysvirus,Paramyxoviridae
Kundal coltivirus,Coltivirus,Spinareoviridae
Tobacco leaf rugose virus,Begomovirus,Geminiviridae
Phlebovirus napoliense,Phlebovirus,Phenuiviridae
Iltovirus psittacidalpha5,Iltovirus,Orthoherpesviridae
Waikavirus brassicae,Waikavirus,Secoviridae
Hoya chlorotic spot virus,Tobamovirus,Virgaviridae
Avian sarcoma virus CT10,Alpharetrovirus,Retroviridae
