Species,Genus,Family
Gemycircularvirus denbre4,Gemycircularvirus,Genomoviridae
Aspergillus ochraceous virus,Gammapartitivirus,Partitiviridae
Gemykrogvirus galga5,Gemykrogvirus,Genomoviridae
Lymphocryptovirus ponginegamma2,Lymphocryptovirus,Orthoherpesviridae
Tenuivirus echinochloae,Tenuivirus,Phenuiviridae
Halfbeak nidovirus 1,Sajorinivirus,Nanhypoviridae
Metapneumovirus avis,Metapneumovirus,Pneumoviridae
Botoulivirus betabotrytidis,Botoulivirus,Botourmiaviridae
Streptococcus phage P7152,Moineauvirus,Aliceevansviridae
Buchavirus oralis,Buchavirus,Suoliviridae
Cereal yellow dwarf virus RPS,Polerovirus,Solemoviridae
Pleione virus Y,Potyvirus,Potyviridae
Senna leaf curl virus,Begomovirus,Geminiviridae
Podivirus S05C243,Podivirus,Autographiviridae
Choctavirus fulminicola,Choctavirus,Fiersviridae
Tequatrovirus kha5h,Tequatrovirus,Straboviridae
Blinduvirus terrihabitans,Blinduvirus,Atkinsviridae
Yingvirus wuhanense,Yingvirus,Qinviridae
Uliginvirus uligo,Uliginvirus,Autographiviridae
Ipomoea yellow vein virus,Begomovirus,Geminiviridae
Chickpea chlorotic dwarf virus,Mastrevirus,Geminiviridae
Tunavirus JMPW1,Tunavirus,Drexlerviridae
Bahnicevirus tellurenecus,Bahnicevirus,Steitzviridae
Penstylhamaparvovirus decapod1,Penstylhamaparvovirus,Parvoviridae
Friunavirus AS12,Friunavirus,Autographiviridae
Pseudotevenvirus RB43,Pseudotevenvirus,Straboviridae
Kaypoctavirus KP8,Kaypoctavirus,Schitoviridae
Merhavirus merida,Merhavirus,Rhabdoviridae
Perhabdovirus perca,Perhabdovirus,Rhabdoviridae
Alphachrysovirus colletotrichi,Alphachrysovirus,Chrysoviridae
Gammanudivirus hogammari,Gammanudivirus,Nudiviridae
Duamitovirus cesp1,Duamitovirus,Mitoviridae
Tymovirus clitoriae,Tymovirus,Tymoviridae
Pegivirus carolliae,Pegivirus,Flaviviridae
Alphayadokarivirus gobani,Alphayadokarivirus,Yadokariviridae
Dehgumevirus asiovivens,Dehgumevirus,Blumeviridae
Zurivirus zuri,Zurivirus,Schitoviridae
Haloferacalesvirus HRTV10,Haloferacalesvirus,Hafunaviridae
Ageratum leaf curl betasatellite,Betasatellite,Tolecusatellitidae
Pepevirus spumicola,Pepevirus,Fiersviridae
Duhcivirus defluviicola,Duhcivirus,Fiersviridae
Yohcadevirus borborocola,Yohcadevirus,Fiersviridae
Caeruleovirus BM15,Caeruleovirus,Herelleviridae
